 title=residual
           1   118.38355164409421        20.189166524198011     
           2   80.333452431215250        29.706950153799387     
           3   52.195229979937338        31.891173449496911     
           4   31.109339615931177        28.827621066730096     
           5   18.033035583945544        22.698650010037944     
           6   14.711820451927590        26.436170268643608     
           7   9.5299519236485715        27.750105869326841     
           8   3.7006294349026549        24.862068367750354     
           9   1.2623109211836652        17.138095046591211     
          10   1.6537380721072177        13.845528280609464     
          11   2.0818689270087929        7.4472995884729807     
          12   1.3649743666609382        4.1809428050507504     
          13   1.0561111736748203        2.1761930819742403     
          14  0.74139241908469167        1.3575360219189543     
          15  0.53149145472610471       0.69284232827785708     
          16  0.29367459681219721       0.32632275262361254     
          17  0.14835502336683604       0.12271359290270656     
          18   7.6158747734300647E-002   4.7844524365604713E-002
          19   4.0277298384330251E-002   2.0745926965874517E-002
          20   2.3311662749641471E-002   1.1657737668166135E-002
          21   1.4832051101931754E-002   7.7343839441947893E-003
          22   1.0025756614455261E-002   5.5943271030276520E-003
          23   7.2882073242581669E-003   4.2130918229847936E-003
          24   5.4777540160770855E-003   3.2386751453667983E-003
          25   4.2182316626000471E-003   2.5461784617313299E-003
          26   3.3097122039258409E-003   2.1564727938478967E-003
          27   2.6363132173763404E-003   1.8187320863720657E-003
          28   2.1260261034328209E-003   1.5504297595985150E-003
          29   1.7455799788823612E-003   1.3230496026750416E-003
          30   1.4438522083182193E-003   1.1292449326578691E-003
          31   1.2014514638121199E-003   9.6477006901984907E-004
          32   1.0048346885458415E-003   8.2533666352091473E-004
          33   8.4401922632615367E-004   7.0706160539479868E-004
          34   7.1153316171645997E-004   6.0659088897629942E-004
          35   6.0170323501118617E-004   5.2108879979506639E-004
          36   5.1016431700467990E-004   4.4818190048090401E-004
          37   4.3351643699551801E-004   3.8643346631239694E-004
          38   3.6908150237557891E-004   3.3412809142419064E-004
          39   3.1472832916890070E-004   2.8905040703719465E-004
          40   2.6874512486330104E-004   2.5016250090281744E-004
          41   2.2974537040987286E-004   2.1658329765550377E-004
          42   1.9659750858380676E-004   1.8756404156405893E-004
          43   1.6837180727513612E-004   1.6246738221070700E-004
          44   1.4429975805008155E-004   1.4074974716571376E-004
          45   1.2374272601434200E-004   1.2194658687469939E-004
          46   1.0616750108205508E-004   1.0566006563195174E-004
          47   9.1127050916739449E-005   9.1548803204943852E-005
          48   7.8245233988027962E-005   7.9319319731041560E-005
          49   6.7204556577493690E-005   6.8718887852980970E-005
          50   5.7736291397603168E-005   5.9529545154646257E-005
          51   4.9612444959379332E-005   5.1563062852366670E-005
          52   4.2639184592019319E-005   4.4656704101697642E-005
          53   3.6651427420153482E-005   3.8669635458177254E-005
          54   3.1508361441723309E-005   3.3479880798381600E-005
          55   2.7089719921491451E-005   2.8981727121291101E-005
          56   2.3292668638319469E-005   2.5083508479184502E-005
          57   2.0029194990556221E-005   2.1705707641928029E-005
          58   1.7223910349528637E-005   1.8779325664297630E-005
          59   1.4812194690350111E-005   1.6244478540983209E-005
          60   1.2738625835950756E-005   1.4049186788156476E-005
          61   1.0955646652988094E-005   1.2148329727068585E-005
          62   9.4224318374358518E-006   1.0502740693141277E-005
          63   8.1039225978685181E-006   9.0784233002239034E-006
          64   6.9700032518937860E-006   7.8458717602813977E-006
          65   5.9947978297003601E-006   6.7794811009491696E-006
          66   5.1560686316065585E-006   5.8570350045528130E-006
          67   4.4347013385959144E-006   5.0592608324961930E-006
          68   3.8142640299554387E-006   4.3694429248120059E-006
          69   3.2806290448661457E-006   3.7730864406171349E-006
          70   2.8216487173438054E-006   3.2576250852400790E-006
          71   2.4268770335567069E-006   2.8121670485603545E-006
          72   2.0873307153834730E-006   2.4272740688502381E-006
          73   1.7952839908019769E-006   2.0947693943895729E-006
          74   1.5440922975784588E-006   1.8075708396736445E-006
          75   1.3280407955562623E-006   1.5595457512063149E-006
          76   1.1422141596995061E-006   1.3453849003752794E-006
          77   9.8238464296684924E-007   1.1604930119091250E-006
          78   8.4491585461421437E-007   1.0008936541794355E-006
          79   7.2668001216413813E-007   8.6314667058218220E-007
          80   6.2498679120892575E-007   7.4427650176289717E-007
          81   5.3752214945745891E-007   6.4170997582380096E-007
          82   4.6229567018940543E-007   5.5322237280108766E-007
          83   3.9759532732830394E-007   4.7689061766220675E-007
