          NO.          X                       Velocity
           1   0.0000000000000000        40.000000000000000     
           2   1.0000000474974513E-003   38.521886728212060     
           3   2.0000000949949026E-003   37.046839385168909     
           4   3.0000001424923539E-003   35.577902078423790     
           5   4.0000001899898052E-003   34.118075480004045     
           6   5.0000002374872565E-003   32.670295622710164     
           7   6.0000002849847078E-003   31.237413304726491     
           8   7.0000003324821591E-003   29.822174291236074     
           9   8.0000003799796104E-003   28.427200490046037     
          10   9.0000004274770617E-003   27.054972264087386     
          11   1.0000000474974513E-002   25.707812027346904     
          12   1.1000000522471964E-002   24.387869252654891     
          13   1.2000000569969416E-002   23.097107000159344     
          14   1.3000000617466867E-002   21.837290054660350     
          15   1.4000000664964318E-002   20.609974738667084     
          16   1.5000000712461770E-002   19.416500446491217     
          17   1.6000000759959221E-002   18.257982923315527     
          18   1.7000000807456672E-002   17.135309292375116     
          19   1.8000000854954123E-002   16.049134813535503     
          20   1.9000000902451575E-002   14.999881337993264     
          21   2.0000000949949026E-002   13.987737406865985     
          22   2.1000000997446477E-002   13.012659926340859     
          23   2.2000001044943929E-002   12.074377339025872     
          24   2.3000001092441380E-002   11.172394200350650     
          25   2.4000001139938831E-002   10.305997060395010     
          26   2.5000001187436283E-002   9.4742615454238415     
          27   2.6000001234933734E-002   8.6760605296608340     
          28   2.7000001282431185E-002   7.9100732863686591     
          29   2.8000001329928637E-002   7.1747955079947481     
          30   2.9000001377426088E-002   6.4685500878162010     
          31   3.0000001424923539E-002   5.7894985599581137     
          32   3.1000001472420990E-002   5.1356531006135464     
          33   3.2000001519918442E-002   4.5048890004775366     
          34   3.3000001567415893E-002   3.8949575265176009     
          35   3.4000001614913344E-002   3.3034990999208143     
          36   3.5000001662410796E-002   2.7280567260595352     
          37   3.6000001709908247E-002   2.1660896212840992     
          38   3.7000001757405698E-002   1.6149869899725464     
          39   3.8000001804903150E-002   1.0720819132553820     
          40   3.9000001852400601E-002  0.53466531792450456     
          41   4.0000001899898052E-002   0.0000000000000000     
