          NO.          X                       Velocity
           1   0.0000000000000000        40.000000000000000     
           2   1.0000000474974513E-003   38.972760900474285     
           3   2.0000000949949026E-003   36.154615019303996     
           4   3.0000001424923539E-003   36.917687932382158     
           5   4.0000001899898052E-003   32.358913384188384     
           6   5.0000002374872565E-003   34.860969971856150     
           7   6.0000002849847078E-003   28.660937751295670     
           8   7.0000003324821591E-003   32.801958932340497     
           9   8.0000003799796104E-003   25.105531063743850     
          10   9.0000004274770617E-003   30.740625903138262     
          11   1.0000000474974513E-002   21.732934714590790     
          12   1.1000000522471964E-002   28.677707174179250     
          13   1.2000000569969416E-002   18.577607715940776     
          14   1.3000000617466867E-002   26.614761372539441     
          15   1.4000000664964318E-002   15.667314510130769     
          16   1.5000000712461770E-002   24.554129043425469     
          17   1.6000000759959221E-002   13.022509895825877     
          18   1.7000000807456672E-002   22.498796115767956     
          19   1.8000000854954123E-002   10.656029137335828     
          20   1.9000000902451575E-002   20.452172667516614     
          21   2.0000000949949026E-002   8.5730714943606774     
          22   2.1000000997446477E-002   18.417807239419766     
          23   2.2000001044943929E-002   6.7714478590022118     
          24   2.3000001092441380E-002   16.399063757704887     
          25   2.4000001139938831E-002   5.2420493532719341     
          26   2.5000001187436283E-002   14.398792250042989     
          27   2.6000001234933734E-002   3.9694846561053332     
          28   2.7000001282431185E-002   12.419025587221046     
          29   2.8000001329928637E-002   2.9328300356776413     
          30   2.9000001377426088E-002   10.460732375926717     
          31   3.0000001424923539E-002   2.1064375752141942     
          32   3.1000001472420990E-002   8.5236510956442011     
          33   3.2000001519918442E-002   1.4607534029085238     
          34   3.3000001567415893E-002   6.6062231228274610     
          35   3.4000001614913344E-002  0.96310792870508699     
          36   3.5000001662410796E-002   4.7056331485674558     
          37   3.6000001709908247E-002  0.57845287306929061     
          38   3.7000001757405698E-002   2.8179555501244549     
          39   3.8000001804903150E-002  0.27003376039818949     
          40   3.9000001852400601E-002  0.93839546313590516     
          41   4.0000001899898052E-002   0.0000000000000000     
